Fecha_hoy,ing_hab,cto_noc,ADR,num_men,num_adu,TREVPEC,count_rows
2022-04-10,5255929.751129298,3094.0,3482178.4125720398,2180.0,6352.0,3386718.9437034894,1924
2022-04-11,5426551.610526962,3224.0,3565100.6947683613,2274.0,6542.0,3483951.828587932,1970
2022-04-12,5308378.394421594,3288.0,3518672.465252223,2322.0,6714.0,3504904.667465437,1996
2022-04-13,5565732.7943987455,3210.0,3546672.0774287865,2314.0,6546.0,3521047.8044586307,1920
2022-04-14,6587843.222158152,3562.0,4110911.794096251,2384.0,7354.0,4042645.0306948526,2078
2022-04-15,6610835.102275811,3528.0,4188542.645222171,2282.0,7304.0,4141857.2739997036,2098
2022-04-16,6335942.656333388,3462.0,4013239.8664668216,2368.0,7144.0,3987606.8853720087,2058
2022-04-17,4745624.172602876,2750.0,3228767.060602766,2046.0,5564.0,3239435.285866478,1782
2022-04-18,5403764.443761665,3222.0,3492299.1789990524,2402.0,6578.0,3494624.2138335337,1934
2022-04-19,5498143.745483206,3374.0,3568284.0753688468,2556.0,6918.0,3579393.3447042187,2018
2022-04-20,5526303.092508466,3364.0,3582936.7103030765,2420.0,6910.0,3596658.7673818003,2014
2022-04-21,5560091.398783864,3342.0,3542428.4347508755,2322.0,6852.0,3545111.6604180387,2014
2022-04-22,5302056.442316824,3234.0,3410286.744899706,2064.0,6598.0,3439288.002230815,1962
2022-04-23,4866438.720112162,3104.0,3204289.8729047603,1882.0,6340.0,3200525.824431657,1892
2022-04-24,4157254.808502846,2838.0,2717368.280561499,1852.0,5718.0,2704660.1780766225,1702
2022-04-25,4177482.6960378923,2996.0,2660210.593322045,1840.0,5976.0,2660723.247078531,1748
2022-04-26,4085810.0769724753,2988.0,2537543.761092771,1780.0,5982.0,2493027.9986126614,1714
2022-04-27,3885262.2835322274,2830.0,2444928.3442918085,1656.0,5656.0,2409526.2755956887,1646
2022-04-28,4114423.736761134,2856.0,2645970.8050179537,1472.0,5686.0,2613744.3993800604,1710
2022-04-29,4514070.984851493,3106.0,2803627.1548263975,1824.0,6264.0,2758689.6290703104,1764
2022-04-30,4524155.528633872,3124.0,2822245.1241793344,1882.0,6394.0,2771540.7911675945,1790
2022-05-01,3543812.07666357,2470.0,2348369.105479308,1388.0,5012.0,2315250.7148903003,1552
2022-05-02,3827675.5787558625,2718.0,2370528.7353492402,1586.0,5456.0,2352262.8521295562,1594
2022-05-03,3646128.8001513346,2630.0,2247406.201970751,1596.0,5328.0,2205160.4195027463,1522
2022-05-04,3565376.58764638,2522.0,2238665.030849251,1418.0,5126.0,2183057.558314024,1538
2022-05-05,4270732.335383455,2942.0,2646272.0000562533,1542.0,6026.0,2541290.480766987,1766
2022-05-06,4541277.063538675,3198.0,2756563.3053491316,1658.0,6624.0,2664278.7248310857,1840
2022-05-07,4320078.584079212,3108.0,2634021.6546117207,1696.0,6430.0,2591787.31812867,1770
2022-05-08,3519647.125894561,2634.0,2217198.226508135,1670.0,5354.0,2197077.3660685383,1562
2022-05-09,3567797.855103264,2786.0,2200945.4134173775,1788.0,5638.0,2183407.1282182764,1594
2022-05-10,3329231.601443231,2578.0,2144868.854131537,1664.0,5198.0,2153540.1280003404,1556
2022-05-11,3001875.070240466,2302.0,1965654.970340796,1392.0,4644.0,1938607.6162946608,1456
2022-05-12,3584641.2501188824,2784.0,2088133.1008608115,1678.0,5668.0,2030676.4403806448,1518
2022-05-13,4050364.7266659862,3094.0,2337720.8435038193,1752.0,6360.0,2288741.4649041328,1654
2022-05-14,4225747.33015748,3180.0,2475995.6808373993,1810.0,6554.0,2384383.717829586,1726
2022-05-15,3360840.970956693,2552.0,2105023.371635108,1508.0,5168.0,2061810.3062876062,1518
2022-05-16,3835713.2863443913,2942.0,2357239.5060652774,1718.0,5858.0,2318528.343898748,1702
2022-05-17,3685229.4685575916,2838.0,2301045.665290629,1682.0,5660.0,2250703.4283415624,1660
2022-05-18,3695608.264509145,2780.0,2361127.8890220835,1632.0,5544.0,2305940.4094480914,1682
2022-05-19,3980493.626921356,2986.0,2428754.148692248,1604.0,5936.0,2423028.523379981,1726
2022-05-20,4625261.558292941,3226.0,2755890.8227539556,1684.0,6590.0,2694064.051569647,1792
2022-05-21,4571598.967791468,3308.0,2638568.1182469754,1738.0,6802.0,2555257.8264962714,1800
2022-05-22,3879553.759433364,2752.0,2389166.5282224896,1542.0,5620.0,2314600.664741043,1622
2022-05-23,4226409.430203895,3146.0,2503862.2176696714,2084.0,6400.0,2430671.835667523,1762
2022-05-24,4144320.7189762318,3074.0,2508712.928847422,2114.0,6252.0,2438553.275779244,1768
2022-05-25,3553745.243555112,2902.0,2292806.499844575,1958.0,5988.0,2243406.0578006464,1650
2022-05-26,4002185.897366896,3034.0,2492045.43040232,1820.0,6284.0,2418012.466649005,1706
2022-05-27,4337126.133461224,3130.0,2576284.6988110202,2054.0,6404.0,2485490.4850699473,1698
2022-05-28,4536470.175919743,3288.0,2642154.6469915463,2122.0,6736.0,2565913.00621255,1742
2022-05-29,3952118.7613282297,2802.0,2354961.636992817,1852.0,5708.0,2281450.4905166253,1574
2022-05-30,4029798.393623462,2986.0,2284181.130945401,2042.0,6070.0,2240453.9432388437,1558
2022-05-31,3711264.963711127,2794.0,2224340.9405488875,1898.0,5610.0,2191108.464846657,1540
2022-06-01,3605020.8495815215,2614.0,2218055.2799514807,1668.0,5288.0,2176772.6748489914,1524
2022-06-02,3865862.7889330876,2850.0,2304977.139997662,1776.0,5824.0,2201748.711397994,1586
2022-06-03,4389938.242376087,3210.0,2505328.1269806405,1954.0,6740.0,2384204.7493972224,1678
2022-06-04,4280951.245777987,3158.0,2467656.529461578,1894.0,6588.0,2328903.5158017147,1706
2022-06-05,3973053.788652913,2884.0,2300126.989320474,1790.0,5904.0,2206252.811912572,1576
2022-06-06,4282775.734613621,3150.0,2460812.3589896504,1996.0,6458.0,2363199.217551426,1686
2022-06-07,4183381.782807691,3136.0,2418471.691196072,1928.0,6320.0,2345984.8875356056,1706
2022-06-08,4104763.0461206282,2954.0,2445246.7390760686,1754.0,5952.0,2386735.9977223934,1702
2022-06-09,4215271.603429896,2988.0,2424622.469108124,1702.0,6010.0,2389785.2403992075,1668
2022-06-10,5003836.0276149865,3452.0,2585871.233194843,1926.0,6866.0,2621181.226813021,1710
2022-06-11,4774223.095431963,3304.0,2521169.30874078,1870.0,6678.0,2547253.2603851333,1672
2022-06-12,3574010.970471121,2528.0,2078228.3030776256,1606.0,5194.0,2025976.1947529619,1408
2022-06-13,4090777.32074113,2872.0,2332679.9035248184,1974.0,5964.0,2216753.362352697,1560
2022-06-14,4093922.1432856508,2914.0,2359639.797753738,1942.0,6046.0,2279296.756906007,1610
2022-06-15,3939679.2424981967,2750.0,2311618.9850679277,1792.0,5696.0,2214896.8654070217,1578
2022-06-16,4150470.9339697347,2828.0,2513622.516641698,1644.0,5830.0,2428536.6282191304,1680
2022-06-17,4590348.992988465,3088.0,2555463.744318422,1934.0,6450.0,2445688.413892684,1644
2022-06-18,4583749.451954922,3140.0,2559239.7606051164,1916.0,6552.0,2454727.2835346567,1638
2022-06-19,3928214.563021194,2700.0,2304399.236088157,1636.0,5626.0,2205184.333113334,1514
2022-06-20,4346185.3336005965,3054.0,2539924.9829077013,1864.0,6332.0,2447626.910794865,1686
2022-06-21,4361827.869590485,3024.0,2568029.6631858735,1842.0,6254.0,2474609.486335327,1682
2022-06-22,4063882.4031405966,2812.0,2485801.5392660177,1620.0,5794.0,2412268.5611069887,1648
2022-06-23,4314099.519436244,2890.0,2509276.6882802057,1548.0,5972.0,2439853.297437779,1650
2022-06-24,4593771.597750198,3188.0,2574004.184820338,1834.0,6698.0,2477930.198440654,1684
2022-06-25,4571234.859275884,3194.0,2392232.5634822175,1766.0,6708.0,2303351.7676688726,1598
2022-06-26,4254045.983178836,2856.0,2261744.813554199,1746.0,5910.0,2195551.210778526,1508
2022-06-27,4732669.041232993,3290.0,2532764.725569432,2122.0,6802.0,2454289.070123405,1642
2022-06-28,4485694.606992218,3126.0,2388097.5181147964,2084.0,6470.0,2309124.9131438173,1574
2022-06-29,4330603.385156697,3040.0,2426756.3312678705,2074.0,6328.0,2336806.771077716,1572
2022-06-30,4083444.6039247275,2832.0,2392357.9168260843,1822.0,5898.0,2329486.380432078,1542
2022-07-01,4649658.09407948,3078.0,2644450.6011102404,1870.0,6360.0,2593912.2590480577,1636
2022-07-02,4827841.946635533,3146.0,2878558.307395131,1868.0,6544.0,2775023.584529994,1752
